time,mag,cdi,mmi,dmin,place,earthquakeType,sig,tsunami,longitude,latitude,depth,country,id_e
24/5/2023 0:00:00,4.3,3.1,4.1605,120.4296,"80 km WNW of Nagata, Japan",earthquake,284,0,129.653,30.6688,228.204,japan,"2023-05-24 00:00:00_80 km WNW of Nagata, Japan_earthquake_4.3_129.653_30.6688"
24/5/2023 0:00:00,4.3,3.1,4.1605,456.3648,"off the east coast of Honshu, Japan",earthquake,284,0,144.3597,37.5775,10,japan,"2023-05-24 00:00:00_off the east coast of Honshu, Japan_earthquake_4.3_144.3597_37.5775"
23/5/2023 0:00:00,4.1,3.1,4.1605,43.5904,"65 km SE of Honchō, Japan",earthquake,259,0,143.4504,41.6893,42.574,japan,"2023-05-23 00:00:00_65 km SE of Honchō, Japan_earthquake_4.1_143.4504_41.6893"
23/5/2023 0:00:00,4.1,3.1,4.1605,201.0496,"157 km NNW of Hirara, Japan",earthquake,259,0,124.7522,26.1332,233.204,japan,"2023-05-23 00:00:00_157 km NNW of Hirara, Japan_earthquake_4.1_124.7522_26.1332"
22/5/2023 0:00:00,4.2,3.1,4.1605,149.7864,"122 km NW of Tarama, Japan",earthquake,271,0,123.935,25.5257,165.426,japan,"2023-05-22 00:00:00_122 km NW of Tarama, Japan_earthquake_4.2_123.935_25.5257"
22/5/2023 0:00:00,5.1,3.1,4.1605,106.196,"41 km SE of Shimoda, Japan",earthquake,405,0,139.3058,34.4462,10,japan,"2023-05-22 00:00:00_41 km SE of Shimoda, Japan_earthquake_5.1_139.3058_34.4462"
22/5/2023 0:00:00,4.2,3.1,4.1605,142.5584,"18 km SSE of Kushiro, Japan",earthquake,271,0,144.4942,42.8308,59.49,japan,"2023-05-22 00:00:00_18 km SSE of Kushiro, Japan_earthquake_4.2_144.4942_42.8308"
22/5/2023 0:00:00,4.9,3.1,4.1605,96.188,"38 km SSE of Shimoda, Japan",earthquake,369,0,139.1655,34.377,6.421,japan,"2023-05-22 00:00:00_38 km SSE of Shimoda, Japan_earthquake_4.9_139.1655_34.377"
21/5/2023 0:00:00,4.4,3.1,4.1605,135.8864,"49 km NE of Anamizu, Japan",earthquake,298,0,137.3086,37.5373,10,japan,"2023-05-21 00:00:00_49 km NE of Anamizu, Japan_earthquake_4.4_137.3086_37.5373"
21/5/2023 0:00:00,5.5,3.1,3.489,225.6248,"135 km WSW of Kurio, Japan",earthquake,465,0,129.1107,29.8362,184,japan,"2023-05-21 00:00:00_135 km WSW of Kurio, Japan_earthquake_5.5_129.1107_29.8362"
21/5/2023 0:00:00,4.1,3.1,4.1605,353.1712,"88 km E of Minami-Sōma, Japan",earthquake,259,0,141.9801,37.6894,35,japan,"2023-05-21 00:00:00_88 km E of Minami-Sōma, Japan_earthquake_4.1_141.9801_37.6894"
21/5/2023 0:00:00,4.4,3.1,4.1605,137.1096,"16 km NNE of Miyako, Japan",earthquake,298,0,142.0005,39.7844,61.292,japan,"2023-05-21 00:00:00_16 km NNE of Miyako, Japan_earthquake_4.4_142.0005_39.7844"
21/5/2023 0:00:00,4.8,3.1,4.1605,355.284,"28 km SE of Shikotan, Russia",earthquake,354,0,146.9539,43.608,35,russia,"2023-05-21 00:00:00_28 km SE of Shikotan, Russia_earthquake_4.8_146.9539_43.608"
21/5/2023 0:00:00,4.3,3.1,4.1605,150.5648,"117 km ENE of Kuji, Japan",earthquake,284,0,143.0018,40.6649,44.45,japan,"2023-05-21 00:00:00_117 km ENE of Kuji, Japan_earthquake_4.3_143.0018_40.6649"
20/5/2023 0:00:00,4.6,2,4.1605,185.704,"19 km SE of Wada, Japan",earthquake,326,0,140.1882,34.939,81.514,japan,"2023-05-20 00:00:00_19 km SE of Wada, Japan_earthquake_4.6_140.1882_34.939"
