id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,eqDepth,damageAmountOrder,damageMillionsDollars,publish,housesDestroyedAmountOrderTotal,country,deathsAmountOrder,injuriesAmountOrderTotal,intensity
3964,1950,12.0,14.0,14.0,MEXICO:  ACAPULCO,16.48,-98.22,7.5,50.0,3.0,,True,,MEXICO,,,5.0
4134,1957,6.0,27.0,0.0,RUSSIA:  CHITA,56.2,116.4,7.6,15.0,2.0,,True,,RUSSIA,,,10.0
6467,1984,9.0,18.0,17.0,JAPAN:  HONSHU ISLAND,34.006,141.5,6.9,48.0,,,True,,JAPAN,,,
3947,1950,7.0,9.0,2.0,COLOMBIA:  ANBOLEDAS,7.79,-72.61,6.1,15.0,3.0,20.0,True,3.0,COLOMBIA,3.0,4.0,9.0
10480,2020,2.0,23.0,16.0,TURKEY: VAN;  IRAN,38.482,44.367,6.0,10.0,2.0,,True,3.0,IRAN,1.0,2.0,
9950,2012,7.0,20.0,12.0,CHINA:  JIANGSU PROVINCE,32.978,119.593,4.9,10.0,1.0,,True,,CHINA,1.0,1.0,
4089,1956,1.0,16.0,23.0,ECUADOR,-0.5,-80.5,7.3,,2.0,,True,,ECUADOR,,,9.0
5852,2005,3.0,13.0,3.0,IRAN:  SARAVAN,27.095,61.887,6.0,54.0,1.0,,True,,IRAN,,,
3114,1918,7.0,3.0,6.0,PAPUA NEW GUINEA:  N COAST,-3.5,142.5,7.5,60.0,,,True,,PAPUA NEW GUINEA,,,
5571,2000,7.0,15.0,1.0,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,6.1,10.0,1.0,,True,,JAPAN,,1.0,
5856,2005,3.0,20.0,1.0,"JAPAN:  KYUSHU:  FUKUOKA, GENKAI",33.807,130.131,6.6,10.0,2.0,,True,2.0,JAPAN,1.0,3.0,
2601,1901,12.0,14.0,22.0,PHILIPPINES:  LUZON,14.0,122.0,7.8,33.0,1.0,,True,,PHILIPPINES,,,7.0
7240,2006,4.0,19.0,2.0,CHINA:  TIBET (XIZANG PROVINCE),31.607,90.413,5.7,33.0,1.0,,True,2.0,CHINA,,,
10128,2014,12.0,6.0,10.0,CHINA:  YUNNAN PROVINCE:  YONGPING,23.358,100.533,5.6,10.0,2.0,,True,3.0,CHINA,1.0,1.0,3.0
6764,2005,7.0,26.0,4.0,"MONTANA:  DILLON, SILVER STAR, TWIN BRIDGES",45.365,-112.615,5.6,13.0,1.0,,True,,USA,,,6.0
5353,1993,4.0,18.0,9.0,PERU:  LIMA,-11.652,-76.53,6.3,106.0,1.0,,True,1.0,PERU,1.0,,
8080,1966,2.0,13.0,10.0,CHINA:   YUNNAN PROVINCE,26.1,103.1,6.2,,1.0,,True,1.0,CHINA,,,
5672,2003,1.0,20.0,8.0,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,7.3,33.0,,,True,,SOLOMON ISLANDS,,,
4959,1982,12.0,25.0,12.0,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08,5.9,33.0,2.0,1.45,True,4.0,INDONESIA,1.0,3.0,
4603,1972,4.0,24.0,9.0,TAIWAN:  HUALIEN,23.6,121.6,6.9,33.0,2.0,,True,,TAIWAN,1.0,1.0,5.0
7482,2007,3.0,6.0,13.0,"COLOMBIA:  CAUCA, SOTARA, PURACE,",2.082,-76.495,5.0,43.0,1.0,,True,1.0,COLOMBIA,,1.0,
10638,2022,7.0,14.0,22.0,ECUADOR: GUAYAS,-2.04,-79.811,5.7,73.0,2.0,,True,,ECUADOR,1.0,,5.0
6501,1996,12.0,2.0,22.0,JAPAN:  KYUSHU,31.789,131.314,6.7,49.0,,,True,,JAPAN,,,
792,1588,8.0,9.0,,"CHINA:  YUNNAN PROVINCE:  TONGHAI, QUJIANG",24.0,102.8,6.0,,,,True,,CHINA,2.0,,8.0
6508,1927,6.0,26.0,11.0,UKRAINE:  CRIMEA:  SEBASTOPOL,44.4,34.4,6.0,27.0,2.0,,True,,UKRAINE,,,7.0
10163,2015,11.0,13.0,20.0,JAPAN:  KYUSYU ISLAND,31.001,128.873,6.7,12.0,,,True,,JAPAN,,,4.0
3886,1948,6.0,30.0,12.0,GREECE:  TSOUKALADES-KALAMITSI (LEUKAS),38.5,20.5,6.4,33.0,2.0,,True,,GREECE,1.0,,11.0
3627,1938,11.0,5.0,10.0,JAPAN:  NEAR E COAST HONSHU,37.2,141.7,7.6,30.0,,,True,,JAPAN,,,
6476,1989,10.0,29.0,5.0,JAPAN:  N. HONSHU ISLAND,39.571,143.333,6.6,10.0,,,True,,JAPAN,,,
9852,2011,11.0,9.0,19.0,TURKEY:  VAN,38.429,43.229,5.7,5.0,1.0,,True,1.0,TURKEY,1.0,,
5427,1995,12.0,3.0,18.0,"RUSSIA:  KURIL ISLANDS:  ITURUP, MATUA, KUNASHIR",44.663,149.3,7.9,33.0,,,True,,RUSSIA,,,5.0
6500,1996,9.0,5.0,8.0,CHILE:  EASTER ISLAND REGION,-22.118,-113.436,6.9,10.0,,,True,,CHILE,,,
2407,1891,4.0,17.0,,CHINA:  SHANXI PROVINCE,37.1,111.9,5.8,,1.0,,True,2.0,CHINA,1.0,2.0,7.0
10447,2019,9.0,24.0,11.0,PAKISTAN:  MIRPUR DISTRICT,33.106,73.766,5.6,10.0,3.0,17.0,True,4.0,PAKISTAN,1.0,3.0,
4798,1978,3.0,24.0,19.0,RUSSIA:  KURIL ISLANDS,44.244,148.862,7.6,33.0,,,True,,RUSSIA,,,6.0
5393,1994,10.0,8.0,21.0,INDONESIA:  HALMAHERA,-1.258,127.98,6.8,17.0,2.0,,True,,INDONESIA,1.0,2.0,
5564,2000,6.0,10.0,18.0,TAIWAN:  NAN-TOU,23.843,121.225,6.4,33.0,1.0,,True,,TAIWAN,1.0,1.0,
5510,1998,11.0,29.0,14.0,"INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891,7.7,33.0,4.0,200.0,True,3.0,INDONESIA,1.0,3.0,7.0
9779,2011,2.0,21.0,23.0,"NEW ZEALAND:  CHRISTCHURCH, LYTTELTON",-43.583,172.68,6.1,6.0,4.0,15000.0,True,4.0,NEW ZEALAND,3.0,4.0,
2719,1905,7.0,6.0,16.0,JAPAN:  OFF FUKUSHIMA,37.4,142.6,7.0,33.0,,,True,,JAPAN,,,
2185,1871,12.0,23.0,,IRAN:  QUCHAN,37.3,58.3,5.6,15.0,3.0,,True,,IRAN,4.0,,7.0
10202,2016,10.0,30.0,6.0,ITALY: NORCIA,42.84,13.11,6.6,9.0,4.0,200.0,True,1.0,ITALY,1.0,1.0,7.0
2448,1894,4.0,29.0,2.0,"VENEZUELA:  MERIDA,TOVAR; COLOMBIA: N SANTANDER",8.5,-71.7,8.2,20.0,,,True,,VENEZUELA,3.0,,9.0
5123,1987,1.0,24.0,8.0,"CHINA:  XINGJIANG WEIWUER ZIZHIQU PROVINCE, WUSHI",41.529,79.318,5.9,29.0,2.0,,True,3.0,CHINA,,,
1201,1716,2.0,11.0,1.0,PERU,-13.7,-76.0,8.6,50.0,,,True,,PERU,,,10.0
